Date,APR
2022-03-07,62.5193109930767
2022-03-08,50.0779017014744
2022-03-09,52.9520645711496
2022-03-10,70.0453479869173
2022-03-11,50.2030142565789
2022-03-12,9.15362301667316
2022-03-13,12.2560159640781
2022-03-14,13.2937561152257
2022-03-15,10.4851237522964
2022-03-16,38.8362686363545
2022-03-17,9.5160520472891
2022-03-18,38.4535796056236
2022-03-19,17.9128593705698
2022-03-20,11.6439897327802
2022-03-21,22.7307919230824
2022-03-22,106.197220899226
2022-03-23,47.234661644147
2022-03-24,48.2396514181552
2022-03-25,32.9737420847683
2022-03-26,18.0800196751369
2022-03-27,37.3882807889034
2022-03-28,30.8356910363948
2022-03-29,30.5382332308149
2022-03-30,20.4214133098306
2022-03-31,49.3240537607757
2022-04-01,51.1523949517175
2022-04-02,41.539500690554
